BX = 000 Event : 1
0 0 0100110|101|010|000 0x4D50
2 0 0110000|101|101|111 0x616F
3 0 0110001|000|010|001 0x6211
3 1 0110011|001|110|101 0x6675
4 0 0111110|100|101|100 0x7D2C
4 1 0111111|101|000|110 0x7F46
7 0 0011101|101|100|001 0x3B61
7 1 0100011|100|000|111 0x4707
BX = 001 Event : 2
1 0 0100111|110|000|110 0x4F86
5 0 0010000|001|111|110 0x207E
7 0 0010110|101|100|001 0x2D61
7 1 0011001|001|110|100 0x3274
7 2 0011010|001|110|100 0x3474
7 3 0011111|001|011|111 0x3E5F
BX = 010 Event : 3
3 0 0101101|100|100|110 0x5B26
4 0 0110010|001|011|000 0x6458
4 1 0110100|001|011|000 0x6858
BX = 011 Event : 4
0 0 0110111|001|111|111 0x6E7F
1 0 0111011|101|000|101 0x7745
4 0 1011111|101|111|001 0xBF79
5 0 0011111|101|001|111 0x3F4F
7 0 0101000|101|101|100 0x516C
BX = 100 Event : 5
1 0 0100010|101|110|110 0x4576
3 0 0110101|101|010|010 0x6B52
4 0 0001110|101|101|111 0x1D6F
BX = 101 Event : 6
0 0 0011001|001|101|001 0x3269
0 1 0011011|100|000|010 0x3702
1 0 0100001|101|100|011 0x4363
3 0 0110001|000|110|001 0x6231
4 0 0110111|000|001|001 0x6E09
4 1 0111000|001|001|001 0x7049
4 2 0111011|100|101|010 0x772A
4 3 0111100|101|111|100 0x797C
4 4 0111111|101|110|110 0x7F76
BX = 110 Event : 7
1 0 0100011|110|101|110 0x47AE
2 0 0100101|101|000|001 0x4B41
3 0 0110000|100|000|010 0x6102
3 1 0110010|101|000|010 0x6542
4 0 0110110|000|110|001 0x6C31
4 1 0111000|100|111|101 0x713D
5 0 0010011|001|100|111 0x2667
6 0 0010100|100|100|001 0x2921
BX = 111 Event : 8
1 0 0100101|001|001|111 0x4A4F
3 0 0110000|001|000|110 0x6046
3 1 0110011|100|101|111 0x672F
7 0 0011000|110|010|001 0x3191
BX = 000 Event : 9
0 0 0100101|101|000|110 0x4B46
1 0 0100110|001|110|001 0x4C71
1 1 0100111|110|110|001 0x4FB1
2 0 0110011|110|010|011 0x6793
3 0 0111111|101|001|010 0x7F4A
3 1 1000000|100|010|011 0x8113
3 2 1000001|001|010|011 0x8253
3 3 1000011|000|011|101 0x861D
4 0 1001010|100|000|001 0x9501
4 1 1001101|101|010|010 0x9B52
4 2 1010001|101|000|100 0xA344
5 0 0010111|110|101|111 0x2FAF
7 0 0011110|001|011|001 0x3C59
BX = 001 Event : 10
0 0 0010010|101|111|010 0x257A
7 0 0001111|001|101|111 0x1E6F
BX = 010 Event : 11
1 0 0101110|101|110|101 0x5D75
3 0 0111101|001|101|010 0x7A6A
4 0 1000010|001|001|000 0x8448
5 0 0001111|100|000|010 0x1F02
5 1 0010000|100|000|010 0x2102
5 2 0010100|100|001|100 0x290C
BX = 011 Event : 12
2 0 0101010|101|101|000 0x5568
3 0 0110101|101|011|010 0x6B5A
3 1 0110110|100|011|010 0x6D1A
4 0 0111110|101|001|100 0x7D4C
4 1 1000000|100|011|100 0x811C
BX = 100 Event : 13
3 0 0100100|101|111|001 0x4979
4 0 0101011|001|000|100 0x5644
5 0 0000110|001|111|001 0x0C79
6 0 0001010|001|100|010 0x1462
BX = 101 Event : 14
3 0 1000001|100|010|000 0x8310
4 0 0001001|110|000|111 0x1387
4 1 1010011|101|001|110 0xA74E
6 0 0010001|001|001|000 0x2248
BX = 110 Event : 15
0 0 0101000|101|011|010 0x515A
1 0 0110000|000|011|111 0x601F
2 0 0110100|110|100|010 0x69A2
2 1 0110111|001|010|110 0x6E56
2 2 0111011|101|010|110 0x7756
2 3 0111100|001|010|110 0x7856
2 4 0111110|100|001|111 0x7D0F
3 0 1000110|000|011|100 0x8C1C
3 1 1000111|101|010|101 0x8F55
3 2 1001000|100|111|101 0x913D
4 0 1001100|101|010|010 0x9952
4 1 1001110|100|011|011 0x9D1B
6 0 0011000|101|111|000 0x3178
BX = 111 Event : 16
3 0 0110000|101|010|111 0x6157
BX = 000 Event : 17
0 0 0011110|001|111|000 0x3C78
0 1 0100001|100|010|101 0x4315
0 2 0100010|100|100|101 0x4525
3 0 0110101|001|101|101 0x6A6D
3 1 0110110|101|100|101 0x6D65
3 2 0111001|101|001|111 0x734F
5 0 0010011|101|101|100 0x276C
BX = 001 Event : 18
4 0 0101001|001|001|011 0x524B
4 1 0101100|000|100|100 0x5824
4 2 0101110|000|000|100 0x5C04
BX = 010 Event : 19
2 0 0100011|000|111|011 0x463B
3 0 0101110|001|110|100 0x5C74
4 0 0110111|000|110|011 0x6E33
4 1 0111000|100|100|100 0x7124
6 0 0010100|110|101|000 0x29A8
BX = 011 Event : 20
2 0 0101011|100|000|001 0x5701
2 1 0101100|101|001|001 0x5949
3 0 0111110|100|011|111 0x7D1F
4 0 0111111|000|100|101 0x7E25
BX = 100 Event : 21
2 0 0101111|110|001|111 0x5F8F
4 0 0110110|101|111|000 0x6D78
5 0 0001111|110|001|010 0x1F8A
5 1 0010011|000|001|100 0x260C
6 0 0011000|000|011|000 0x3018
6 1 0011001|101|011|000 0x3358
7 0 0011100|110|110|000 0x39B0
BX = 101 Event : 22
3 0 0101100|100|101|001 0x5929
3 1 0101101|101|010|001 0x5B51
4 0 0110001|001|101|000 0x6268
4 1 0110010|101|110|010 0x6572
BX = 110 Event : 23
0 0 0011101|101|101|010 0x3B6A
1 0 0100001|110|111|000 0x43B8
1 1 0100110|101|010|111 0x4D57
2 0 0101010|101|010|000 0x5550
3 0 1000110|101|101|110 0x8D6E
4 0 1001101|001|010|110 0x9A56
6 0 0010010|100|001|010 0x250A
7 0 0011011|101|010|101 0x3755
BX = 111 Event : 24
0 0 0100010|001|000|111 0x4447
2 0 0101011|101|011|001 0x5759
4 0 0111010|000|111|101 0x743D
6 0 0010110|101|010|101 0x2D55
BX = 000 Event : 25
2 0 0101011|100|001|000 0x5708
3 0 0111011|101|001|101 0x774D
5 0 0001010|110|000|011 0x1583
6 0 0010001|001|000|010 0x2242
BX = 001 Event : 26
0 0 0101111|001|000|000 0x5E40
0 1 0110010|101|010|000 0x6550
2 0 1000000|110|110|101 0x81B5
5 0 0001011|001|110|000 0x1670
5 1 0010011|110|011|000 0x2798
5 2 0010101|101|110|001 0x2B71
7 0 0100110|001|101|010 0x4C6A
BX = 010 Event : 27
0 0 0011001|001|101|000 0x3268
2 0 0100111|101|011|101 0x4F5D
2 1 0101000|110|001|111 0x518F
3 0 0101001|000|010|000 0x5210
4 0 0110000|000|001|000 0x6008
4 1 0110011|001|001|110 0x664E
